SNIFFERID;TIMESTAMP;TIPO;SSID;RSSI;MAC_O;FREC;CANAL
sniffer2.4Ghz_6;5/11/2022, 7:11:33 AM:940;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;d6:b2:f0:43:ea:f0;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:33 AM:942;PROBE REQUEST;SSID oculto o desconocido;-88 dBm;d6:b2:f0:43:ea:f0;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:34 AM:980;PROBE REQUEST;SSID oculto o desconocido;-58 dBm;6a:3a:3e:33:3a:da;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:37 AM:60;PROBE REQUEST;SSID oculto o desconocido;-90 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:43 AM:300;PROBE REQUEST;SSID oculto o desconocido;-106 dBm;16:95:08:b8:44:b2;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:44 AM:340;PROBE REQUEST;CEEIM_FREE;-62 dBm;de:9d:f4:2f:06:44;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:46 AM:420;PROBE REQUEST;MOVISTAR_D280;-102 dBm;70:03:9f:7b:67:fb;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:47 AM:460;PROBE REQUEST;CEEIM;-82 dBm;42:cb:6a:37:54:b7;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:49 AM:540;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:49 AM:542;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:49 AM:544;PROBE REQUEST;SSID oculto o desconocido;-86 dBm;00:22:fe:41:a4:2a;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:51 AM:620;PROBE REQUEST;SSID oculto o desconocido;-50 dBm;3a:67:36:ff:1a:5f;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:51 AM:622;PROBE REQUEST;SSID oculto o desconocido;-50 dBm;3a:67:36:ff:1a:5f;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:51 AM:624;PROBE REQUEST;SSID oculto o desconocido;-50 dBm;3a:67:36:ff:1a:5f;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:51 AM:626;PROBE REQUEST;MOVISTAR_D280;-88 dBm;70:03:9f:7b:67:fb;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:700;PROBE REQUEST;SSID oculto o desconocido;-22 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:702;PROBE REQUEST;SSID oculto o desconocido;-22 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:705;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:707;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:709;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:711;PROBE REQUEST;SSID oculto o desconocido;-24 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:713;PROBE REQUEST;SSID oculto o desconocido;-46 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:715;PROBE REQUEST;SSID oculto o desconocido;-44 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:717;PROBE REQUEST;SSID oculto o desconocido;-22 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
sniffer2.4Ghz_6;5/11/2022, 7:11:53 AM:718;PROBE REQUEST;SSID oculto o desconocido;-6 dBm;5a:f5:ba:66:22:ab;2437 Mhz;6
